epoch,loss,val_loss
0,1.73064996751,0.822692714632
1,1.0303319753,0.763856608421
2,0.795846535047,0.682936020195
3,0.676421753565,0.604920513928
4,0.581319192727,0.519917361438
5,0.493415378253,0.44138629362
6,0.411186749617,0.360616602004
7,0.334927235762,0.293276177719
8,0.268198506673,0.23085972853
9,0.208991595904,0.180626196787
10,0.162221657157,0.135567816906
11,0.123713071009,0.106399698649
12,0.0952028325399,0.0810125954449
13,0.074478537788,0.0611548966262
14,0.0607640356322,0.0501594089437
15,0.0515025348763,0.0425187605433
16,0.0462657954196,0.0392637024634
17,0.0422260662516,0.0371819474967
18,0.0402365699261,0.0367253466975
19,0.0387565340896,0.0346225075191
20,0.0384179697831,0.0321197005687
21,0.0373096999129,0.0327950166538
22,0.0373655098975,0.0318538718857
23,0.0376274708559,0.0305365798995
24,0.0371495184501,0.0331991647836
25,0.0375959544877,0.0328243270051
26,0.0382495561093,0.0305268026423
27,0.0383987850398,0.0322627475252
28,0.0379276585132,0.0330704118824
29,0.0374039770812,0.0326935942285
